timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
35097,0.02,0.02,0.03,0.04,17.09,31.94,OFF
35198,0.02,0.39,1.03,1.10,43.78,31.94,OFF
35397,0.02,0.02,0.03,0.04,30.33,31.94,OFF
35498,0.02,0.39,1.03,1.10,20.86,31.94,OFF
35697,0.02,0.02,0.03,0.04,26.18,31.94,OFF
35798,0.02,0.38,1.04,1.10,23.99,31.94,OFF
35997,0.02,0.02,0.03,0.04,19.61,31.94,OFF
36098,0.02,0.38,-0.00,0.39,45.03,31.94,OFF
36198,0.02,0.39,1.03,1.10,22.04,31.94,OFF
36298,0.02,0.38,1.03,1.10,37.51,31.94,OFF
36497,0.02,0.02,0.03,0.04,21.40,31.94,OFF
36598,0.02,0.38,1.03,1.10,30.75,31.94,OFF
36797,0.02,0.02,0.03,0.04,47.06,31.94,OFF
36898,0.02,0.38,1.03,1.10,17.54,31.94,OFF
37097,0.02,0.02,0.03,0.04,19.88,31.94,OFF
37198,0.02,0.39,1.03,1.10,26.35,31.94,OFF
37397,0.02,0.02,0.03,0.04,34.11,31.94,OFF
37498,0.02,0.38,1.03,1.10,21.09,31.94,OFF
37697,0.02,0.02,0.03,0.04,27.53,31.94,OFF
37798,0.02,0.38,1.03,1.10,25.64,31.94,OFF
37997,0.02,0.02,0.03,0.04,22.33,31.94,OFF
38098,0.02,0.38,1.03,1.10,37.75,31.94,OFF
38297,0.02,0.02,0.03,0.04,32.18,31.94,OFF
38398,0.02,0.39,1.02,1.09,20.76,31.94,OFF
38597,0.02,0.02,0.03,0.04,30.61,31.94,OFF
38698,0.02,0.38,1.03,1.10,31.65,31.94,OFF
38897,0.02,0.02,0.03,0.04,40.95,31.94,OFF
38998,0.02,0.39,1.03,1.10,13.98,31.94,OFF
39197,0.02,0.02,0.03,0.04,51.94,31.94,OFF
39298,0.02,0.38,1.03,1.10,25.57,31.94,OFF
39497,0.02,0.02,0.03,0.04,26.60,31.94,OFF
39598,0.02,0.38,1.02,1.09,47.82,31.94,OFF
39797,0.02,0.02,0.03,0.04,48.10,31.94,OFF
39898,0.02,0.39,1.03,1.10,31.37,31.94,OFF
39998,0.02,0.38,1.06,1.13,27.21,31.94,OFF
40098,0.02,0.39,1.03,1.10,30.34,31.94,OFF
40297,0.02,0.02,0.03,0.04,36.13,31.94,OFF
40398,0.02,0.39,1.03,1.10,17.22,31.94,OFF
40498,0.02,0.38,1.06,1.13,28.72,31.94,OFF
40697,0.02,0.02,0.03,0.04,23.13,31.94,OFF
40798,0.02,0.38,1.03,1.10,22.28,31.94,OFF
40997,0.02,0.02,0.03,0.04,20.29,31.94,OFF
41769,0.02,0.38,1.03,1.10,33.51,31.94,OFF
41868,0.02,0.38,1.03,1.10,26.88,31.94,OFF
41968,0.02,0.38,1.03,1.10,23.55,31.94,OFF
42167,0.02,0.02,0.03,0.04,36.30,31.94,OFF
42268,0.02,0.38,1.03,1.10,18.55,31.94,OFF
42368,0.02,0.38,1.03,1.10,21.52,31.94,OFF
42567,0.02,0.38,-1.74,1.78,27.93,31.94,OFF
42668,0.02,0.39,1.03,1.10,37.15,31.94,OFF
42867,0.02,0.02,0.03,0.04,25.26,31.94,OFF
42968,0.02,0.38,1.03,1.10,53.20,31.94,OFF
43068,0.02,0.39,1.04,1.11,18.86,31.94,OFF
43267,0.02,0.02,0.03,0.04,36.77,31.94,OFF
43368,0.02,0.39,1.03,1.10,44.57,31.94,OFF
43468,0.02,0.39,1.03,1.10,19.08,31.94,OFF
43667,0.02,0.02,0.03,0.04,45.24,31.94,OFF
43768,0.02,0.38,1.03,1.10,35.89,31.94,OFF
43868,0.02,0.38,1.03,1.10,29.62,31.94,OFF
44067,0.02,0.02,0.03,0.04,28.85,31.94,OFF
44168,0.02,0.39,1.03,1.10,19.99,31.94,OFF
44268,0.02,0.39,1.03,1.10,42.89,31.94,OFF
44467,0.02,0.02,0.03,0.04,27.57,31.94,OFF
44568,0.02,0.39,1.03,1.10,37.23,31.94,OFF
44668,0.02,0.39,1.03,1.10,22.77,31.94,OFF
44867,0.02,0.02,0.03,0.04,27.65,31.94,OFF
44968,0.02,0.38,1.03,1.10,31.92,31.94,OFF
45068,0.02,0.39,1.04,1.11,24.76,31.94,OFF
45267,0.02,0.02,0.03,0.04,13.99,31.94,OFF
45368,0.02,0.39,1.03,1.10,18.65,31.94,OFF
45468,0.02,0.39,1.03,1.10,29.98,31.94,OFF
